,origin,destination,treq,tdep,ttrav,tarr,tdrop,dist,pax_id,Point_o,origin_x,origin_y,Point_d,destination_x,destination_y
35,46298410,46401867,2020-10-29 14:30:03,,0 days 00:59:37.000000000,2020-10-29 15:29:40,,3577,35,POINT (4.8848224 52.3515947),4.8848224,52.3515947,POINT (4.8675609 52.3748587),4.8675609,52.3748587
880,46437516,46295650,2020-10-29 14:30:04,,0 days 01:50:24.000000000,2020-10-29 16:20:28,,6624,880,POINT (4.822459 52.3823222),4.822459,52.3823222,POINT (4.881654 52.3509727),4.881654,52.3509727
944,46496230,2311109634,2020-10-29 14:30:04,,0 days 02:59:02.000000000,2020-10-29 17:29:06,,10742,944,POINT (4.9563597 52.3971045),4.9563597,52.3971045,POINT (4.8728229 52.3661609),4.8728229,52.3661609
936,46298458,46364348,2020-10-29 14:30:10,,0 days 01:50:04.000000000,2020-10-29 16:20:14,,6604,936,POINT (4.9196375 52.3516237),4.9196375,52.3516237,POINT (4.8506734 52.3668654),4.8506734,52.3668654
302,46276230,154528005,2020-10-29 14:30:12,,0 days 01:15:26.000000000,2020-10-29 15:45:38,,4526,302,POINT (4.8658245 52.3462033),4.8658245,52.3462033,POINT (4.8771575 52.3747573),4.8771575,52.3747573
926,46177832,46314956,2020-10-29 14:30:22,,0 days 01:34:31.000000000,2020-10-29 16:04:53,,5671,926,POINT (4.8662209 52.3246427),4.8662209,52.3246427,POINT (4.9055249 52.3553948),4.9055249,52.3553948
948,46331712,1615543977,2020-10-29 14:30:22,,0 days 01:12:23.000000000,2020-10-29 15:42:45,,4343,948,POINT (4.8213679 52.3591271),4.8213679,52.3591271,POINT (4.8492455 52.3849777),4.8492455,52.3849777
387,46392705,46363900,2020-10-29 14:30:33,,0 days 00:53:22.000000000,2020-10-29 15:23:55,,3202,387,POINT (4.8535594 52.3729462),4.8535594,52.3729462,POINT (4.8852281 52.3668956),4.8852281,52.3668956
23,7223251788,46380586,2020-10-29 14:30:37,,0 days 01:17:26.000000000,2020-10-29 15:48:03,,4646,23,POINT (4.9157156 52.3650555),4.9157156,52.3650555,POINT (4.877417 52.3703923),4.877417,52.3703923
319,46375508,46403876,2020-10-29 14:30:39,,0 days 00:15:33.000000000,2020-10-29 14:46:12,,933,319,POINT (4.8726773 52.3693686),4.8726773,52.3693686,POINT (4.8786862 52.3752968),4.8786862,52.3752968
