id,success,n_itineraries,duration,walkDistance,transfers,transitTime,waitingTime,modes
751,True,3,619,691.2075864569828,0,42,2,"[['WALK', 9, 6], ['TRAM', 42, 187], ['WALK', 566, 684]]"
752,True,3,2012,1111.3840225464196,1,1086,36,"[['WALK', 622, 768], ['BUS', 384, 1862], ['WALK', 86, 111], ['BUS', 702, 3235], ['WALK', 182, 231]]"
753,True,3,1867,846.4865789366693,0,1173,2,"[['WALK', 509, 628], ['BUS', 1173, 6614], ['WALK', 183, 217]]"
754,True,3,1243,1127.0673007350913,0,312,2,"[['WALK', 478, 590], ['TRAM', 312, 1317], ['WALK', 451, 536]]"
755,True,3,2178,544.986127813059,0,1728,2,"[['WALK', 56, 57], ['TRAM', 1728, 7096], ['WALK', 392, 486]]"
756,True,3,2021,1163.6407067594082,0,1076,2,"[['WALK', 314, 392], ['BUS', 1076, 4792], ['WALK', 629, 770]]"
757,True,3,1266,622.6165263089963,1,736,20,"[['WALK', 103, 118], ['TRAM', 440, 1732], ['TRAM', 296, 1230], ['WALK', 407, 504]]"
758,True,3,1046,677.6784962293563,0,230,242,"[['WALK', 242, 276], ['SUBWAY', 230, 2836], ['WALK', 332, 400]]"
759,True,3,1866,722.0911127756592,1,1122,162,"[['WALK', 47, 44], ['TRAM', 300, 1506], ['WALK', 320, 422], ['BUS', 822, 4481], ['WALK', 215, 254]]"
760,True,3,1472,468.22652630738304,0,1067,2,"[['WALK', 128, 145], ['TRAM', 1067, 4193], ['WALK', 275, 322]]"
761,True,3,738,630.0849699187468,0,222,2,"[['WALK', 207, 248], ['TRAM', 222, 982], ['WALK', 307, 381]]"
762,True,3,2265,1113.8644736732567,1,1161,199,"[['WALK', 429, 515], ['TRAM', 238, 2795], ['WALK', 55, 70], ['BUS', 923, 4932], ['WALK', 421, 527]]"
763,True,3,2071,465.28301503255966,1,1680,5,"[['WALK', 289, 353], ['BUS', 604, 3589], ['BUS', 1076, 6017], ['WALK', 97, 111]]"
764,True,3,1348,1658.5453759317706,0,36,2,"[['WALK', 357, 444], ['BUS', 36, 298], ['WALK', 953, 1213]]"
765,True,3,1196,1209.5047293058285,0,170,2,"[['WALK', 880, 1059], ['TRAM', 170, 663], ['WALK', 144, 149]]"
766,True,3,1617,513.8384736764833,1,1186,11,"[['WALK', 148, 181], ['BUS', 849, 5187], ['BUS', 337, 2154], ['WALK', 272, 331]]"
767,True,3,1790,657.8416842065353,1,1164,92,"[['WALK', 196, 227], ['BUS', 299, 1021], ['WALK', 244, 320], ['TRAM', 865, 2776], ['WALK', 94, 110]]"
768,True,3,875,330.0981578862455,0,582,2,"[['WALK', 152, 160], ['BUS', 582, 2830], ['WALK', 139, 169]]"
769,True,3,1280,934.0022781789912,0,488,2,"[['WALK', 432, 509], ['TRAM', 488, 1808], ['WALK', 358, 424]]"
770,True,3,729,583.1999699155201,0,238,2,"[['WALK', 212, 263], ['TRAM', 238, 867], ['WALK', 277, 319]]"
771,True,3,2115,977.5670150244932,0,1298,2,"[['WALK', 494, 606], ['TRAM', 1298, 5344], ['WALK', 321, 370]]"
772,True,3,3418,1186.9065563821828,1,2224,251,"[['WALK', 92, 113], ['BUS', 780, 6392], ['WALK', 111, 143], ['SUBWAY', 1444, 14666], ['WALK', 740, 928]]"
773,True,3,2418,1159.1758721740339,1,1422,81,"[['WALK', 661, 839], ['BUS', 660, 3123], ['WALK', 41, 51], ['TRAM', 762, 3645], ['WALK', 213, 268]]"
774,True,3,2214,458.3609623984336,0,1822,2,"[['WALK', 227, 264], ['TRAM', 1822, 7262], ['WALK', 163, 193]]"
775,True,3,1173,986.8123608959842,0,380,2,"[['WALK', 505, 636], ['TRAM', 380, 1654], ['WALK', 286, 349]]"
776,True,3,1615,1158.2118721724212,0,683,2,"[['WALK', 892, 1120], ['TRAM', 683, 3429], ['WALK', 38, 37]]"
777,True,3,1789,763.5823308179578,0,1152,2,"[['WALK', 74, 89], ['BUS', 1152, 5566], ['WALK', 561, 673]]"
778,True,3,1498,869.6916992374819,0,779,2,"[['WALK', 359, 431], ['TRAM', 779, 3253], ['WALK', 358, 438]]"
779,True,3,1638,708.5577293171216,0,1062,2,"[['WALK', 149, 179], ['TRAM', 1062, 4437], ['WALK', 425, 528]]"
780,True,3,2453,813.2115639041095,1,1789,15,"[['WALK', 447, 577], ['TRAM', 1460, 5475], ['WALK', 53, 67], ['TRAM', 329, 1173], ['WALK', 149, 168]]"
781,True,3,2837,1156.6464210423571,1,1320,582,"[['WALK', 485, 622], ['BUS', 660, 5340], ['WALK', 140, 183], ['RAIL', 660, 8905], ['WALK', 310, 351]]"
782,True,3,1749,1410.5361729220315,0,587,2,"[['WALK', 345, 417], ['TRAM', 587, 1776], ['WALK', 815, 992]]"
783,True,3,1181,1071.5805263073828,0,288,2,"[['WALK', 646, 775], ['TRAM', 288, 1314], ['WALK', 245, 296]]"
784,True,3,1692,554.9560300667331,0,1230,2,"[['WALK', 349, 431], ['TRAM', 1230, 4484], ['WALK', 111, 123]]"
785,True,3,1678,1511.341285683171,0,360,2,"[['WALK', 835, 979], ['RAIL', 360, 4345], ['WALK', 481, 530]]"
786,True,3,2906,963.042330819571,2,1467,674,"[['WALK', 221, 263], ['TRAM', 342, 2317], ['WALK', 196, 257], ['SUBWAY', 789, 7374], ['WALK', 101, 130], ['BUS', 336, 1814], ['WALK', 247, 310]]"
787,True,3,1293,459.7884811967968,0,907,2,"[['WALK', 203, 257], ['BUS', 907, 4140], ['WALK', 181, 202]]"
788,True,3,2191,1408.8004285594445,1,915,138,"[['WALK', 240, 300], ['BUS', 489, 2049], ['WALK', 233, 306], ['SUBWAY', 426, 4206], ['WALK', 665, 801]]"
789,True,1,369,451.7630526276728,0,0,0,"[['WALK', 369, 451]]"
790,True,3,1083,1067.4760826976326,0,214,2,"[['WALK', 527, 655], ['TRAM', 214, 1058], ['WALK', 340, 411]]"
791,True,3,1588,1461.7936014959964,0,420,2,"[['WALK', 891, 1110], ['BUS', 420, 2447], ['WALK', 275, 351]]"
792,True,3,1687,479.99669923909516,1,1167,106,"[['WALK', 357, 424], ['BUS', 480, 2285], ['WALK', 16, 18], ['BUS', 687, 3227], ['WALK', 41, 36]]"
793,True,3,2226,2179.250706746501,0,462,2,"[['WALK', 1405, 1726], ['TRAM', 462, 2183], ['WALK', 357, 451]]"
794,True,3,1051,393.47529322768463,1,719,6,"[['WALK', 75, 85], ['TRAM', 317, 1315], ['WALK', 134, 175], ['TRAM', 402, 1184], ['WALK', 117, 132]]"
795,True,3,1187,593.5016541317356,1,683,29,"[['WALK', 304, 390], ['TRAM', 402, 1762], ['WALK', 51, 64], ['TRAM', 281, 976], ['WALK', 120, 138]]"
796,True,3,1461,1805.968609008243,0,0,0,"[['WALK', 1461, 1805]]"
797,True,3,1459,1096.324202990378,0,522,2,"[['WALK', 762, 896], ['TRAM', 522, 2425], ['WALK', 173, 199]]"
798,True,3,477,563.1161353285321,0,0,0,"[['WALK', 477, 562]]"
799,True,3,2166,1096.549654120442,0,1250,2,"[['WALK', 127, 152], ['TRAM', 1250, 6626], ['WALK', 787, 944]]"
800,True,3,369,471.41618044879885,0,0,0,"[['WALK', 369, 471]]"
1,True,3,1248,726.6776014927689,0,639,2,"[['WALK', 404, 494], ['TRAM', 639, 2407], ['WALK', 203, 232]]"
2,True,3,2223,1401.1520902211726,1,1062,60,"[['WALK', 572, 717], ['FERRY', 300, 301], ['WALK', 362, 477], ['TRAM', 762, 2343], ['WALK', 167, 206]]"
3,True,3,1062,1358.6682781918978,0,0,0,"[['WALK', 1062, 1358]]"
4,True,3,1207,980.6359022456073,0,392,2,"[['WALK', 613, 754], ['TRAM', 392, 1487], ['WALK', 200, 226]]"
5,True,3,1732,797.8100526212194,1,875,202,"[['WALK', 292, 318], ['SUBWAY', 437, 4308], ['WALK', 339, 447], ['BUS', 438, 2329], ['WALK', 24, 31]]"
6,True,3,1744,806.5150902211726,1,861,254,"[['WALK', 225, 284], ['SUBWAY', 339, 2880], ['WALK', 348, 459], ['BUS', 522, 3063], ['WALK', 56, 62]]"
7,True,3,1865,913.5181127708192,0,1113,2,"[['WALK', 254, 293], ['TRAM', 1113, 5078], ['WALK', 496, 619]]"
8,True,3,1524,1059.5609248065468,0,683,2,"[['WALK', 699, 890], ['TRAM', 683, 3429], ['WALK', 140, 169]]"
9,True,3,1798,1016.7102255545453,1,963,10,"[['WALK', 322, 389], ['BUS', 780, 6341], ['WALK', 112, 145], ['BUS', 183, 1199], ['WALK', 391, 481]]"
10,True,3,1630,950.3289699155206,1,763,92,"[['WALK', 281, 348], ['TRAM', 199, 855], ['WALK', 48, 60], ['TRAM', 564, 2331], ['WALK', 446, 541]]"
11,True,3,1971,801.8584511155436,1,1251,53,"[['WALK', 403, 493], ['BUS', 783, 4061], ['WALK', 108, 140], ['TRAM', 468, 1828], ['WALK', 156, 167]]"
12,True,3,2859,2235.188992463553,1,897,174,"[['WALK', 171, 200], ['TRAM', 282, 1854], ['WALK', 60, 76], ['SUBWAY', 615, 5779], ['WALK', 1557, 1957]]"
13,True,1,234,284.7822481170984,0,0,0,"[['WALK', 234, 284]]"
14,True,3,1135,391.48538345531057,0,819,2,"[['WALK', 204, 256], ['BUS', 819, 4058], ['WALK', 110, 134]]"
15,True,3,1637,1371.7784511155432,0,542,2,"[['WALK', 834, 1049], ['BUS', 542, 2763], ['WALK', 259, 321]]"
16,True,3,2191,649.901616535009,0,1654,2,"[['WALK', 385, 473], ['TRAM', 1654, 6228], ['WALK', 150, 176]]"
17,True,3,1559,694.6531202959725,0,1002,2,"[['WALK', 341, 432], ['BUS', 1002, 4407], ['WALK', 214, 262]]"
18,True,3,1828,1788.4850225383518,0,370,2,"[['WALK', 462, 563], ['TRAM', 370, 1640], ['WALK', 994, 1224]]"
19,True,3,1364,559.1578120276613,1,781,147,"[['WALK', 39, 45], ['TRAM', 634, 2909], ['WALK', 233, 307], ['BUS', 147, 811], ['WALK', 164, 206]]"
20,True,3,1063,127.66380450412115,0,936,2,"[['WALK', 35, 28], ['TRAM', 936, 3922], ['WALK', 90, 98]]"
21,True,3,1071,1181.555729310668,0,94,2,"[['WALK', 89, 99], ['TRAM', 94, 429], ['WALK', 886, 1081]]"
22,True,3,1250,542.6569624016602,1,549,261,"[['WALK', 77, 83], ['BUS', 340, 2174], ['BUS', 209, 1214], ['WALK', 363, 458]]"
23,True,3,1371,581.1911428472323,0,882,2,"[['WALK', 227, 278], ['TRAM', 882, 3516], ['WALK', 260, 302]]"
24,True,3,2189,365.1945112748231,1,1845,47,"[['WALK', 91, 109], ['BUS', 242, 1153], ['WALK', 45, 56], ['TRAM', 1603, 6173], ['WALK', 161, 199]]"
25,True,3,862,580.0553308211844,0,388,2,"[['WALK', 356, 434], ['TRAM', 388, 1312], ['WALK', 116, 145]]"
26,True,3,1665,642.5989774374466,0,1134,2,"[['WALK', 191, 237], ['TRAM', 1134, 3804], ['WALK', 338, 405]]"
27,True,3,2632,1573.4075263041566,0,1358,2,"[['WALK', 843, 1039], ['BUS', 1358, 7009], ['WALK', 429, 533]]"
28,True,3,2045,645.5877969854214,1,1350,174,"[['WALK', 198, 234], ['BUS', 697, 2523], ['WALK', 206, 271], ['TRAM', 653, 2863], ['WALK', 117, 139]]"
29,True,3,2499,2073.25084209278,0,848,2,"[['WALK', 705, 900], ['TRAM', 848, 3608], ['WALK', 944, 1172]]"
30,True,3,1341,569.9418646537208,1,735,138,"[['WALK', 272, 317], ['TRAM', 282, 1302], ['WALK', 123, 160], ['TRAM', 453, 1861], ['WALK', 73, 91]]"
31,True,3,1550,878.5090375822061,0,822,2,"[['WALK', 411, 495], ['TRAM', 822, 3396], ['WALK', 315, 382]]"
32,True,3,1045,289.98374435290833,0,784,2,"[['WALK', 120, 120], ['TRAM', 784, 2587], ['WALK', 139, 169]]"
33,True,3,684,630.2631804423453,0,162,2,"[['WALK', 108, 136], ['TRAM', 162, 864], ['WALK', 412, 493]]"
34,True,3,1897,776.6994962293567,0,1250,2,"[['WALK', 428, 523], ['TRAM', 1250, 4778], ['WALK', 217, 253]]"
35,True,3,1284,771.2911578846323,0,641,2,"[['WALK', 264, 324], ['TRAM', 641, 2620], ['WALK', 377, 446]]"
36,True,3,507,434.11245112199686,0,151,2,"[['WALK', 105, 125], ['TRAM', 151, 556], ['WALK', 249, 308]]"
37,True,3,946,239.55655638702285,1,726,20,"[['WALK', 151, 187], ['BUS', 582, 2411], ['TRAM', 144, 884], ['WALK', 49, 52]]"
38,True,1,167,205.15533082441112,0,0,0,"[['WALK', 167, 205]]"
39,True,3,1117,336.2146842081487,1,816,30,"[['WALK', 188, 237], ['TRAM', 534, 2162], ['WALK', 38, 47], ['TRAM', 282, 1070], ['WALK', 45, 51]]"
40,True,3,828,1032.439518788683,0,0,0,"[['WALK', 828, 1032]]"
41,True,3,981,826.5792255529318,0,297,2,"[['WALK', 198, 242], ['TRAM', 297, 1305], ['WALK', 484, 583]]"
42,True,3,2002,968.6629999935465,0,1216,2,"[['WALK', 433, 532], ['TRAM', 1216, 6798], ['WALK', 351, 436]]"
43,True,3,835,739.5826691675222,0,228,2,"[['WALK', 198, 251], ['BUS', 228, 922], ['WALK', 407, 488]]"
44,True,3,1693,858.3355714211957,0,996,2,"[['WALK', 202, 252], ['TRAM', 996, 3289], ['WALK', 493, 605]]"
45,True,3,2332,1112.6814511155433,1,985,436,"[['WALK', 793, 970], ['SUBWAY', 443, 4690], ['WALK', 89, 114], ['TRAM', 542, 2047], ['WALK', 29, 26]]"
46,True,3,1725,913.582225554545,0,977,2,"[['WALK', 335, 413], ['TRAM', 977, 3986], ['WALK', 411, 500]]"
47,True,3,1203,760.0454285642837,1,582,3,"[['WALK', 280, 341], ['BUS', 180, 760], ['WALK', 119, 154], ['TRAM', 402, 1650], ['WALK', 219, 263]]"
48,True,3,1563,711.6330827008594,1,700,293,"[['WALK', 260, 306], ['SUBWAY', 135, 1265], ['WALK', 239, 313], ['TRAM', 565, 2863], ['WALK', 71, 91]]"
49,True,3,944,376.9566165382358,0,642,2,"[['WALK', 270, 337], ['TRAM', 642, 2636], ['WALK', 30, 39]]"
50,True,3,1750,1200.3281202959727,2,628,163,"[['WALK', 389, 472], ['BUS', 338, 2205], ['WALK', 125, 163], ['SUBWAY', 107, 1727], ['WALK', 225, 296], ['BUS', 183, 1199], ['WALK', 220, 267]]"
51,True,3,1556,572.4603458569709,0,1070,2,"[['WALK', 440, 529], ['TRAM', 1070, 4045], ['WALK', 44, 42]]"
52,True,3,1515,384.7124436049102,0,1202,2,"[['WALK', 287, 353], ['TRAM', 1202, 4256], ['WALK', 24, 30]]"
